brand_name,model_name,service_title,price
Toyota,Camry,Техническое обслуживание,от 8 500 ₽
Toyota,Camry,Замена масла,от 3 500 ₽
Toyota,Camry,Диагностика двигателя,от 2 500 ₽
Toyota,Corolla,Техническое обслуживание,от 7 000 ₽
Toyota,Corolla,Замена масла,от 3 000 ₽
BMW,3 Series,Техническое обслуживание,от 12 000 ₽
BMW,3 Series,Замена масла,от 5 500 ₽
BMW,3 Series,Диагностика двигателя,от 4 000 ₽
BMW,5 Series,Техническое обслуживание,от 15 000 ₽
Mercedes-Benz,E-Class,Техническое обслуживание,от 14 000 ₽
Mercedes-Benz,E-Class,Замена масла,от 6 000 ₽
Audi,A4,Техническое обслуживание,от 11 000 ₽
Audi,Q5,Техническое обслуживание,от 13 000 ₽
Volkswagen,Polo,Техническое обслуживание,от 6 500 ₽
Volkswagen,Polo,Замена масла,от 2 800 ₽
Lexus,RX,Техническое обслуживание,от 16 000 ₽
Honda,Accord,Техническое обслуживание,от 8 000 ₽
Toyota,,Ремонт подвески,от 5 000 ₽
BMW,,Ремонт подвески,от 8 000 ₽
Mercedes-Benz,,Ремонт тормозной системы,от 7 000 ₽